Actual,Raw,Raw+MA,Geometry,Geo+MA,Raw %Err,MA %Err,Geo %Err,GeoMA %Err
1.5,1.71,1.71,1.39,1.39,14.00,14.00,7.33,7.33
2,1.71,1.71,1.39,1.39,14.50,14.50,30.50,30.50
3,1.71,2.76,1.39,2.56,43.00,8.00,53.67,14.67
4,3.99,3.99,3.87,3.87,0.25,0.25,3.25,3.25
5,4.96,5.56,4.86,5.47,0.80,11.20,2.80,9.40
6,4.65,4.65,4.54,4.54,22.50,22.50,24.33,24.33
7,7.92,7.72,7.85,7.65,13.14,10.29,12.14,9.29
8,7.92,7.91,7.85,7.85,1.00,1.12,1.88,1.88
9,8.92,8.92,8.87,8.87,0.89,0.89,1.44,1.44
10,9.96,9.95,9.91,9.9,0.40,0.50,0.90,1.00
15,15.44,15.46,15.41,15.42,2.93,3.07,2.73,2.80
20,19.47,19.47,19.44,19.44,2.65,2.65,2.80,2.80
25,24.59,24.6,24.57,24.58,1.64,1.60,1.72,1.68
30,29.68,29.69,29.67,29.67,1.07,1.03,1.10,1.10
35,34.29,34.61,34.28,34.6,2.03,1.11,2.06,1.14
40,40.07,40.06,40.06,40.05,0.18,0.15,0.15,0.12
45,44.52,44.53,44.51,44.52,1.07,1.04,1.09,1.07
50,50.53,50.2,50.52,50.19,1.06,0.40,1.04,0.38
55,54.86,54.54,54.85,54.53,0.25,0.84,0.27,0.85
60,59.77,59.68,59.76,59.67,0.38,0.53,0.40,0.55
70,69.51,53.31,69.5,53.3,0.70,23.84,0.71,23.86
80,79.13,79.12,79.13,79.11,1.09,1.10,1.09,1.11
90,89.38,87.18,89.38,87.18,0.69,3.13,0.69,3.13
100,99.45,99.47,99.45,99.46,0.55,0.53,0.55,0.54
120,120.48,120.47,120.47,120.47,0.40,0.39,0.39,0.39
140,140.21,140.24,140.21,140.24,0.15,0.17,0.15,0.17
148,148.99,149.27,148.99,149.27,0.67,0.86,0.67,0.86
165,166.01,166.5,166,166.5,0.61,0.91,0.61,0.91
